cluster_10:Myh11,Tpm1,Actg2,Sorbs1,Dmd,Lpp,Acta2,Itga1,Cald1,Ppp1r12a,Vcl,Itih5,Synpo2,Pdlim3,Flna,Mylk,Pgm5,Fn1,Col25a1,Csrp1,Itgb1,Enah,Itga5,Svil,Slc24a3,Picalm,Tagln,Msrb3,Cacna1c,Fhl1,Rbpms,Chrm3,Filip1,Ryr3,Nrp2,Slc8a1,Kcnq5,Carmn,Pcdh7,Sh3d19,Slmap,Ppp1r12b,Myom1,Tns1,Col4a1,Tpm2,Sntg2,Fermt2,Cav1,Rock2,Col3a1,Pygb,Plcb4,Actn1,Col12a1,Pard3b,Col1a2,Malat1,Esyt2,Adamts6
cluster_11:Fras1,Gsdmc2,Anxa3,Cast,Ppp2r2b,Sema3e,Adgrg6,Gsdmc3,Fstl4,Upk1b,Cdh13,Clca3a1,Pla2g4a,Col4a6,9530036O11Rik,Crybg1,Col4a5,Mcu,Myof,Wls,Plxdc2,Ccnd2,Cers3,Tjp2,Ikzf2,Psd3,App,Maml2,Dscaml1,Gclc,Map3k5,Rras2,2610035D17Rik,Lama5,Id1,Pard3,Wfdc2,Kitl,Arap2,Ly6d,Itgb4,Clca3a2,Anxa2,Cers6,Ano1,Galnt3,Mctp2,Ttc6,Pdlim1,Ctdspl,Fam49b,Cdk6,Slk,Phf20l1,Vmp1,Erbin,March3,Peli1,Abi1,Diaph3
cluster_12:Cntn5,Rbfox1,Nrxn1,Cntnap2,Ctnna2,Eml5,Ank2,Dlg2,Fgf13,Zfp804a,Gm26871,Elavl2,Syt1,Fgf14,Hand2os1,Sema6d,Plxna4,Nrg3,Cadm1,Tafa2,Ebf1,Astn2,Erc2,Spock3,Lsamp,Lingo2,Cadps,Ncam2,Ptprt,Ccser1,Rims2,Pcbp3,Eya1,C130073E24Rik,Xkr4,Nyap2,Nek1,Mapk10,Tenm2,Tmeff2,Rgs7,Lrp1b,Snap25,Tnr,Ntrk3,Nrxn3,Ppfia2,Elavl4,Dlgap1,Hs3st5,Nnat,Map2,Dgkb,Slit3,9530059O14Rik,Epha5,Gria4,B3galt1,Cnksr2,Gramd1b
cluster_13:Ptprm,Flt1,Prex2,Ptprb,Tcf4,Elmo1,Emcn,Dock4,Cyyr1,Fli1,Pcdh17,Pecam1,Ldb2,Rapgef5,Ptprg,Zfp521,Tek,Adgrl4,Egfl7,C430049B03Rik,Calcrl,Arhgap18,Prkch,Thsd7a,Apbb2,Arhgap31,Mef2c,Adamts9,Ebf1,St6galnac3,Adgrf5,Nav3,Ablim1,Arhgap29,Nrp1,Ldlrad4,Kdr,Plekhg1,Hbb-bs,Dnm3,Cdh13,Elk3,Rasal2,Klhl4,Rasgrp3,Sema6a,Shroom2,Cdh5,Ccdc85a,Sptbn1,Tjp1,Csgalnact1,Limch1,Kitl,Mest,Shank3,Eng,Tspan18,Vegfc,Eln
cluster_14:Lama2,Eln,Zfpm2,Fbn1,Prex2,Col3a1,Nkain3,Bicc1,Pde3a,Col1a2,Svep1,Col12a1,Epha3,Col14a1,Fbn2,Col1a1,Dlc1,Pid1,Aspn,Adamtsl3,Enox1,Sparc,Cd55,Celf2,Dennd4a,Col5a2,Ebf1,Heg1,Peg3,Dnm3os,Sema3d,Sptbn1,Plagl1,Gulp1,Kcnn3,Dcn,Abca8a,Vcan,Meg3,Col24a1,Lhfp,Flt1,Sox5,Dock10,Plod2,Rbms3,Zfp385b,Adam12,Gucy1a1,Tenm4,Thbs2,Mgp,Piezo2,Adamts9,Adamts2,Cdh11,Thbs1,Grb10,Gnas,Gab2
cluster_15:Glis3,Gm43305,Pate4,Ppp2r2b,Gm27187,Svs4,Pik3ap1,Ell2,Rmst,Arhgef38,Prlr,Tanc2,Lmo3,Chrm3,Pak3,Col26a1,Fut8,Gpcpd1,Mast2,Samd12,Clu,Atp8a1,Frmpd4,Shroom3,Phactr1,Dpp4,Mecom,Sh3rf1,Limch1,Zfhx3,Prr16,Ptprj,Ar,Elf5,Pde7b,Ehf,Fhit,Sgk1,Neb,Myo1d,Pate6,Bmpr1b,Cadps2,Slc41a2,Kcnq1,Vps41,Coro2a,Adgrg6,Myo3b,Itpr2,Satb1,Clint1,Eya2,Frk,Ica1,Ern1,Prom1,Slc39a8,Fam129a,Itpr1
cluster_16:Slc35f1,Grid2,Csmd1,Nkain2,Cdh19,Opcml,Mdga2,Il1rapl1,Fign,Ptprz1,Zeb2,Lama2,Stard13,Adgrb3,Luzp2,Dst,Kcnh8,Cdh2,Qk,Grik2,Pde7b,Zfp536,Sox5,Sorcs1,Scn7a,Mef2c,Ednrb,Thsd7a,Sntb1,Cdh10,Lama4,Ndst3,Tnc,Cadm2,Abca8a,Kcnt2,Zswim6,Adam23,Gfra1,Ldb2,Gulp1,Tenm3,Chl1,Sox10,Cadm1,Cdh6,Ptprm,Pcdh9,Dock11,Spon1,Postn,Plce1,Ncam1,Ptprj,Stk32a,Adgrg6,Sox2ot,Crppa,Vcan,Fgf13
cluster_17:Esr1,Adamts19,Csmd1,Adgrb3,Npas3,Cdh11,B3galt1,Dkk2,Syt1,Epha5,Ar,Creb5,Tmem132c,Matn2,Pex5l,Xist,Pld5,Robo2,Enpp2,Tsix,Gabrb1,Ednra,Nova1,Ldb2,C1qtnf7,Dpp10,Dnm3os,Trpc6,Prrx1,Wt1,Ptchd4,Col6a6,Prom1,Kcnip1,Apcdd1,Nlgn1,Bnc2,Mir100hg,Clstn2,Rtl4,Igf1,Prkg1,Hs6st3,Fbxl7,Col1a2,Abi3bp,Fbn2,Col23a1,Epha7,Cttnbp2,Vcan,Sncaip,Kif26b,Sema5a,Chsy3,Atrnl1,Plcb1,Pten,Tcf4,Sema3a
cluster_18:Mrc1,F13a1,Slc9a9,Dab2,Mctp1,Apoe,Rbpj,Arhgap15,Hdac9,Zeb2,Maf,Mef2c,Stab1,Lyn,Cfh,Dock2,Ifi207,Ptprc,Snx2,Wwp1,Elmo1,Vav3,Fyb,Aoah,Frmd4b,Myo5a,Inpp5d,Lgmn,Lrmda,Adgre1,Mbnl1,Ptprj,Pip4k2a,Skap2,Ms4a4a,Ophn1,Runx1,Dock10,Cltc,Dleu2,Fli1,Serinc3,Cd163,Ap2a2,Ctsc,Mtss1,Abca1,Ctsb,Gm26740,Msr1,Cd84,Ikzf1,Wdfy2,Mertk,Zswim6,Snx24,Rreb1,Gab2,Psd3,Osbpl9
cluster_19:Rmst,Kcnh7,Frmpd4,Gpc5,Plcl1,Fras1,Grip1,Sorbs2,Fgf12,Etl4,Dcdc2a,Chst11,Tbx3os1,Pkhd1,Glis3,Fgfr2,Ap1s3,Tox,Nkain2,Sema3c,Pde7b,Ptprj,Bmpr1b,Prdm16,Rnf43,Pax2,Sox6,Frk,Frmd5,Slc35f1,Hoxb3,Col18a1,Plch1,9230110F11Rik,Arhgef38,Hoxd3,Nox4,Phactr2,Grik1,Ptbp3,Bicc1,Mllt3,Kcnc2,Phactr1,Sema3d,Rab11fip2,Ivns1abp,Epb41l5,Pde1a,Lrba,Syne2,Dach1,Znrf3,2610307P16Rik,Nfat5,Gabrg3,Tut4,Magi1,Kansl1l,Ptprd
